age,income,loan_amount,credit_score,employment_years,debt_to_income_ratio,overdue_times,loan_term,has_house,has_car,default
55,73384.53,49271.46,706,33,0.545,3,48,0,0,0
46,88556.65,97775.62,575,15,0.95,1,24,1,0,1
43,88862.16,48531.57,539,19,0.272,0,24,0,1,1
46,74674.97,70885.67,644,21,0.698,2,12,0,1,1
37,125629.55,94107.23,695,16,0.591,2,36,1,0,0
47,131682.69,57192.57,521,21,0.257,1,60,1,1,0
52,169529.62,177816.78,720,21,0.788,5,24,0,1,0
51,74166.66,72417.33,725,26,0.663,2,60,0,0,0
45,84131.35,107143.89,664,17,0.95,3,12,0,1,0
23,219598.52,79104.13,586,0,0.243,1,36,1,1,0
49,101313.69,110220.7,577,27,0.718,7,36,0,1,1
35,110587.13,111585.11,747,6,0.758,4,24,1,0,0
50,100831.22,80057.36,532,29,0.35,2,36,1,1,0
42,181654.87,111420.49,750,16,0.41,4,48,0,1,0
56,184852.58,124469.22,646,32,0.256,0,36,1,0,0
34,180041.68,159052.8,652,13,0.642,0,60,1,0,0
58,110409.94,116709.11,515,31,0.709,4,60,1,0,1
54,73673.9,56917.37,648,22,0.659,4,36,0,1,0
34,259456.9,135190.69,712,13,0.432,0,60,1,1,0
40,160386.06,146765.26,546,10,0.558,1,12,1,0,0
42,88832.11,86448.25,702,15,0.725,1,24,0,1,1
51,207050.6,148438.4,668,22,0.381,1,36,1,1,0
48,85731.53,67349.47,605,26,0.458,1,36,0,1,0
55,205832.2,192476.75,733,24,0.371,1,36,0,1,0
35,212188.02,104473.16,473,14,0.202,3,36,1,1,0
41,72065.65,83123.63,689,10,0.95,7,60,0,1,1
38,141745.89,69799.76,798,10,0.46,1,24,1,0,0
57,155124.89,83757.74,782,32,0.347,0,48,1,1,0
33,353878.58,155639.69,693,12,0.188,0,36,1,1,0
44,78117.12,75909.51,634,16,0.392,3,36,0,1,1
25,207865.08,75007.72,606,3,0.136,2,24,1,1,0
55,109952.72,129592.81,634,27,0.95,3,24,0,1,0
36,62404.09,10000.0,706,6,0.099,0,36,1,0,0
34,103363.35,108621.43,591,10,0.923,2,48,0,0,1
44,109218.87,51431.51,724,21,0.267,0,36,0,0,0
40,67744.56,65270.3,841,17,0.677,3,24,1,0,0
54,125552.36,29584.87,655,31,0.178,0,48,1,1,0
42,167881.59,87229.98,546,20,0.197,0,48,0,0,0
41,121441.79,58501.01,546,18,0.366,3,60,0,0,1
25,85491.32,78082.59,726,0,0.758,1,36,1,0,0
21,102046.88,67322.66,655,0,0.24,3,48,0,1,0
36,108874.98,52877.82,735,6,0.187,0,36,1,1,0
60,120306.12,73583.5,615,30,0.406,2,48,1,1,0
57,179768.26,123312.3,731,27,0.64,2,36,1,0,0
46,123299.65,66450.36,647,19,0.503,2,24,1,1,1
46,58034.13,48280.49,598,22,0.346,2,60,1,0,1
36,84707.17,69609.6,626,4,0.663,2,48,0,1,1
28,117560.63,68150.83,558,5,0.479,4,36,0,1,1
21,180928.29,139695.22,829,0,0.676,0,36,0,1,0
34,195639.88,121631.57,652,8,0.234,0,48,1,1,0
33,242463.97,98258.17,715,4,0.378,2,24,1,1,0
28,115702.38,99579.01,614,1,0.726,2,24,0,0,1
31,153812.43,110707.72,571,1,0.514,0,24,1,1,1
21,56697.89,68182.57,640,0,0.469,6,24,1,0,1
45,132381.97,114917.08,754,20,0.429,2,12,0,1,0
58,67247.23,46445.8,616,27,0.385,3,48,0,1,1
48,106070.3,73360.1,586,25,0.598,1,24,1,0,0
38,426525.43,334452.97,673,7,0.633,0,60,1,1,0
37,125066.32,81548.14,702,14,0.596,1,60,0,0,0
33,73960.32,23487.68,800,2,0.192,1,24,0,1,0
26,131072.39,81200.88,690,1,0.558,0,48,1,1,0
44,86449.54,89952.64,715,12,0.923,2,36,0,0,1
43,70803.6,75816.51,721,21,0.387,5,60,0,1,0
21,281085.11,237905.27,562,0,0.418,1,36,1,0,1
37,176321.69,151319.48,578,6,0.712,5,36,1,1,0
32,127451.54,61442.23,568,11,0.361,1,24,0,1,0
27,91462.06,73753.84,547,3,0.39,3,60,0,1,1
49,94858.8,42647.91,728,27,0.368,3,24,0,1,0
42,218407.28,113853.82,685,18,0.281,1,60,0,1,0
46,125236.58,46930.87,667,21,0.267,0,24,1,1,0
49,50000.0,42632.17,440,21,0.777,4,48,1,0,1
60,324299.36,215565.3,835,36,0.328,0,36,1,0,0
53,118465.62,65087.2,584,31,0.211,3,12,0,0,0
45,127327.28,70973.0,834,22,0.416,1,24,1,1,0
56,177906.37,107925.51,537,24,0.477,4,24,1,0,1
40,134515.04,130849.87,591,8,0.523,2,48,0,1,0
60,152681.43,146353.31,473,37,0.605,3,48,0,0,0
51,90158.49,55328.87,691,28,0.399,2,24,0,0,0
47,62729.81,72667.15,566,26,0.95,6,36,0,0,1
57,123760.65,117437.65,569,25,0.727,4,12,1,1,1
41,207778.23,158214.14,543,12,0.391,1,48,0,1,1
49,81510.64,97675.74,726,19,0.616,0,48,1,1,0
32,78620.61,76214.32,720,8,0.528,1,60,1,0,0
59,188991.75,38882.46,814,31,0.09,1,60,0,1,0
45,88808.68,118807.02,602,24,0.576,4,24,0,1,1
52,90694.14,59288.93,679,23,0.549,3,24,0,0,0
39,92234.09,61601.73,550,12,0.567,3,60,1,0,0
55,105953.81,57400.28,632,31,0.274,0,24,0,1,0
23,53737.31,82946.78,616,0,0.95,2,12,1,1,1
25,85587.71,124467.87,699,0,0.95,1,24,0,1,0
41,121014.49,79838.83,746,15,0.513,0,48,0,0,0
50,120626.84,73127.29,744,27,0.532,1,48,1,0,0
53,183706.91,206908.35,588,32,0.603,0,60,0,1,0
38,249627.85,182810.64,745,6,0.547,0,36,0,1,0
46,215478.74,175431.97,656,22,0.436,1,24,1,1,0
43,164652.68,21114.79,632,19,0.114,0,36,1,1,0
59,102034.82,82961.01,600,30,0.431,1,48,1,1,1
47,82422.93,50833.28,612,23,0.447,4,24,1,0,0
37,109979.06,93469.3,808,12,0.395,2,60,0,1,0
59,141989.79,42322.69,686,30,0.17,0,36,1,1,0
25,157924.45,32092.6,675,0,0.114,1,48,0,1,0
60,144406.65,95606.2,638,32,0.53,5,60,1,0,0
27,103308.1,65358.41,850,6,0.33,1,36,0,0,0
32,155451.34,180011.19,771,6,0.633,2,48,1,0,0
53,192411.7,122073.47,599,27,0.226,2,36,1,0,0
50,162116.77,152647.3,637,22,0.508,2,48,0,1,0
59,107537.42,82463.23,642,37,0.394,2,60,1,0,0
50,74964.36,65303.53,672,28,0.59,1,36,0,1,0
46,74168.49,47900.07,600,16,0.382,3,24,0,0,1
34,80294.15,81919.31,697,5,0.95,2,60,0,0,1
21,122477.65,95217.52,783,0,0.527,0,60,1,1,0
25,137848.66,49185.33,548,1,0.14,2,36,1,0,0
32,57725.86,64970.08,564,0,0.941,3,60,0,1,1
22,86959.89,67186.6,619,0,0.295,1,36,0,0,0
41,121719.98,113728.76,623,13,0.796,1,36,1,1,1
52,72776.18,100326.73,830,30,0.818,3,36,0,0,0
59,132621.82,139807.96,745,27,0.408,1,12,0,1,0
40,95002.38,86696.35,740,16,0.855,2,36,1,0,0
56,78783.66,82438.02,638,26,0.677,0,48,1,1,1
60,111741.39,105519.96,636,36,0.815,1,12,0,0,1
55,130160.83,87375.42,537,25,0.404,2,24,0,0,1
39,74470.77,38741.06,726,13,0.326,2,48,0,1,0
34,97814.14,121521.6,702,13,0.705,2,48,0,1,1
60,134652.85,90747.73,769,37,0.385,0,60,1,0,0
30,77424.57,42360.18,642,1,0.452,2,24,0,0,0
37,51741.19,30524.32,648,14,0.217,1,60,0,1,0
23,54641.11,87582.29,674,0,0.95,8,24,0,0,1
52,90388.93,42892.17,736,25,0.242,2,24,1,0,0
46,60277.36,81215.33,535,22,0.922,4,48,1,0,1
24,93295.31,103181.43,723,2,0.53,1,36,0,1,0
29,230780.95,191295.1,658,1,0.464,0,48,1,0,0
43,58666.89,31226.73,570,14,0.357,4,24,0,1,1
42,96069.56,87810.14,483,13,0.727,2,24,0,0,1
53,284798.46,241887.76,648,21,0.779,5,36,1,1,0
31,131092.51,91035.27,783,9,0.344,0,12,1,0,0
57,92459.36,69932.67,802,31,0.484,3,24,1,1,0
38,101661.38,44151.06,690,15,0.243,2,24,0,0,0
53,132351.05,75550.15,827,22,0.407,1,24,1,1,0
30,234004.91,125516.27,656,3,0.306,1,48,1,1,0
22,85915.19,44116.41,741,0,0.21,0,24,0,1,0
23,77580.81,10000.0,622,0,0.093,3,36,0,0,1
35,58661.33,46211.73,616,14,0.293,2,36,1,1,0
59,114278.44,85749.75,602,35,0.282,2,36,1,1,1
22,57956.08,85291.19,485,0,0.95,5,36,0,1,1
35,88547.8,117171.39,769,8,0.95,3,48,1,0,0
25,72481.92,67934.4,605,0,0.644,5,60,1,1,1
58,176902.78,118478.36,592,31,0.242,1,24,0,0,0
48,86787.82,98041.99,560,17,0.628,1,48,0,1,0
51,130433.48,99830.29,643,24,0.427,1,12,1,0,0
49,53005.9,61048.28,810,28,0.901,3,36,1,0,0
47,115748.86,94681.71,838,26,0.685,1,36,1,1,0
51,63486.2,37745.04,519,21,0.334,4,24,0,0,1
21,90080.43,132380.0,630,0,0.886,1,12,1,1,1
55,295091.62,41338.58,572,30,0.068,1,12,1,1,0
50,165956.08,176311.0,744,29,0.836,3,12,0,1,0
50,102972.2,90150.6,684,26,0.49,2,36,1,0,0
36,460249.43,129567.36,606,8,0.218,0,24,1,1,0
53,72270.51,32586.38,666,30,0.349,1,48,0,0,0
36,184305.02,93270.44,619,10,0.225,4,60,1,1,1
22,54737.07,55531.82,797,0,0.894,1,24,0,1,0
57,97756.48,96074.64,706,36,0.83,2,24,0,0,0
30,59485.9,81023.12,717,9,0.95,2,36,0,1,1
25,122488.71,99046.64,433,1,0.325,2,60,0,0,0
45,111880.5,47793.5,654,15,0.192,4,36,0,0,0
30,94992.27,59080.1,837,5,0.252,3,12,0,0,0
55,178336.17,164672.81,773,27,0.58,0,60,0,0,0
38,84525.24,66035.45,503,17,0.398,3,36,0,1,0
21,126384.39,132855.2,633,0,0.892,3,36,0,1,0
59,157826.2,113471.29,558,38,0.44,2,60,0,1,1
41,55968.84,25425.58,805,12,0.282,0,60,0,0,0
31,77902.52,66112.63,681,9,0.766,4,36,0,0,0
48,111774.36,108423.99,595,17,0.676,1,24,1,1,1
42,144866.66,90193.33,663,18,0.363,0,36,1,0,0
22,206810.25,46869.18,438,0,0.213,2,24,1,1,1
51,98997.92,118524.92,568,26,0.751,5,36,0,1,1
37,94616.58,95096.83,663,16,0.701,1,24,0,0,0
48,73668.59,65329.68,732,26,0.514,1,48,0,1,0
56,126562.67,113812.16,495,28,0.676,2,48,1,0,1
45,95444.2,108755.23,628,21,0.929,1,60,0,0,0
47,96440.88,65044.26,746,22,0.49,2,60,0,0,0
31,104584.45,165100.13,537,1,0.788,5,12,0,0,1
30,139836.98,146777.37,679,8,0.95,1,24,0,1,0
37,84653.46,106687.0,666,12,0.828,3,36,0,1,1
55,77074.58,50482.62,806,32,0.554,0,24,0,1,0
41,132491.78,12608.55,640,15,0.05,0,12,1,0,0
34,50000.0,46533.76,645,10,0.615,2,48,0,1,1
52,83145.29,148827.55,733,31,0.95,7,36,1,0,0
55,64984.93,58323.16,547,34,0.685,1,12,0,0,1
57,187487.26,125164.56,641,26,0.279,0,36,1,1,0
32,89462.99,52756.25,621,11,0.458,0,60,1,1,0
49,84768.37,79954.59,648,19,0.339,3,48,0,0,0
44,106736.65,48215.52,732,13,0.258,0,24,0,1,0
38,83456.63,113287.88,707,12,0.668,1,36,0,1,0
36,91017.61,81093.72,596,12,0.446,0,60,0,0,0
25,113971.04,60898.11,672,0,0.2,2,12,1,1,0
31,90226.8,94680.78,787,0,0.756,1,48,0,0,0
42,89935.87,22935.34,589,20,0.203,4,48,0,0,1
56,69246.58,49816.59,672,24,0.378,0,48,1,0,0
55,64912.62,75235.16,644,23,0.814,3,24,0,0,0
28,112115.69,83857.03,655,6,0.485,4,60,1,1,1
48,125237.88,158306.31,521,27,0.95,3,24,0,0,1
24,57373.02,75377.23,780,0,0.95,3,12,0,0,1
48,153579.5,60352.55,594,27,0.361,0,12,1,0,0
34,153863.55,179980.6,747,6,0.95,3,36,1,0,0
38,169161.66,31306.4,607,17,0.138,2,12,1,0,0
49,124860.21,94435.81,607,20,0.297,2,48,0,0,0
37,145319.05,69030.44,763,14,0.411,0,60,1,1,0
53,291635.97,106101.38,744,31,0.293,1,12,0,1,0
42,95255.24,69898.66,678,21,0.381,1,48,0,0,0
60,68148.12,26178.32,725,37,0.197,3,60,0,0,0
46,54702.96,56224.21,635,19,0.683,2,12,0,1,1
32,240398.51,213561.28,659,11,0.462,1,48,1,1,1
52,241821.29,108849.54,604,22,0.42,2,60,1,1,0
37,71964.64,55335.39,737,9,0.358,1,48,1,0,0
42,78645.5,95024.15,601,18,0.534,1,36,0,1,1
26,94296.94,154212.34,786,0,0.615,4,60,0,0,1
25,189267.3,109248.64,633,0,0.393,1,48,1,1,0
43,61127.31,50981.41,662,14,0.662,1,24,0,1,0
28,50000.0,25885.31,724,5,0.363,0,24,0,1,0
60,289346.88,116554.3,662,31,0.191,0,36,1,1,0
55,125563.64,137257.67,635,28,0.95,1,36,0,1,0
49,133851.46,117593.95,657,17,0.507,0,24,1,0,0
50,99479.04,73733.09,736,24,0.322,1,24,0,0,0
44,134538.17,75896.54,604,15,0.262,0,60,1,0,0
23,55193.88,109087.81,649,0,0.95,0,48,1,1,1
36,74726.18,31247.89,661,15,0.283,2,24,0,1,1
40,114384.52,68968.32,733,18,0.429,0,24,0,0,0
57,50000.0,39864.07,652,26,0.314,0,24,1,1,0
29,95212.55,53568.87,814,0,0.49,0,12,0,0,0
40,92607.56,42934.78,647,15,0.256,4,48,0,0,0
34,95205.16,68673.71,640,5,0.365,3,12,1,1,1
26,85136.68,38285.77,645,5,0.343,2,60,0,0,1
25,69692.55,58175.42,548,4,0.599,0,24,1,1,1
35,50000.0,76876.49,572,8,0.95,1,12,0,0,1
24,116440.56,110184.97,615,0,0.564,1,60,0,1,1
23,95315.16,65199.76,757,0,0.315,2,36,0,0,0
35,58754.52,76226.0,657,5,0.95,1,36,0,1,1
29,112211.42,45322.1,619,5,0.258,1,12,0,1,0
43,95537.34,68608.49,764,13,0.536,1,48,0,0,0
21,88657.79,61271.3,792,0,0.259,0,36,0,0,0
33,50000.0,26325.97,767,3,0.29,2,60,0,0,0
39,148337.5,71526.95,587,16,0.454,2,48,0,0,1
59,62637.98,59545.01,618,38,0.883,4,60,0,1,1
46,112248.63,61839.39,814,25,0.518,1,48,1,0,0
56,75832.27,108034.02,680,24,0.95,0,48,0,1,1
34,91589.61,34436.18,637,13,0.245,1,48,1,0,0
38,183236.26,83607.17,721,6,0.316,2,36,1,0,0
37,138583.48,114476.75,746,8,0.326,2,48,0,0,0
56,181410.55,147423.48,611,34,0.671,2,48,0,0,0
59,126585.53,96091.19,679,28,0.607,3,12,1,1,1
59,130387.31,85108.52,739,37,0.506,4,48,0,1,0
51,50000.0,53819.98,561,29,0.624,5,24,0,0,1
41,94571.72,24800.46,661,14,0.134,1,36,1,0,0
42,98596.49,66036.2,565,18,0.56,4,12,0,0,1
60,189216.88,179764.03,576,36,0.888,2,12,1,0,0
32,86872.5,90396.47,612,9,0.629,3,12,0,0,1
34,122907.43,18921.72,701,6,0.059,1,24,0,1,0
56,120763.67,44014.66,633,35,0.325,0,12,1,0,0
36,183680.63,153342.73,605,13,0.638,0,24,0,0,0
30,102725.45,83618.33,664,3,0.613,6,36,0,1,1
43,158340.67,135834.19,563,17,0.786,5,36,0,1,1
34,50655.88,127456.33,696,5,0.95,3,60,0,1,1
56,52769.64,79820.01,756,33,0.95,2,48,0,1,1
57,50000.0,10000.0,653,29,0.155,1,24,1,0,0
33,155389.98,94842.96,643,3,0.391,2,36,1,1,0
42,147731.26,69992.81,692,17,0.247,1,36,1,0,1
60,163337.26,117902.87,488,36,0.362,3,36,1,0,1
50,80433.59,86478.01,706,23,0.845,3,36,0,0,1
29,84660.43,40200.75,850,2,0.235,2,48,0,0,0
44,103314.04,64937.93,650,22,0.571,1,48,0,0,0
45,208911.23,98677.23,650,18,0.28,0,36,1,1,0
47,233800.31,173687.75,723,25,0.542,0,48,0,1,0
22,155938.01,185770.43,800,0,0.448,0,24,0,0,0
32,126621.66,152757.37,743,0,0.747,0,60,0,0,0
55,198972.56,135636.63,477,28,0.402,2,60,0,1,0
30,97233.53,56169.08,708,0,0.464,1,24,1,0,0
32,91498.36,89200.7,850,8,0.374,2,48,0,0,0
33,102943.96,104485.67,713,1,0.6,4,48,0,0,0
28,70233.35,40759.35,562,0,0.502,0,36,1,0,1
27,100835.5,97338.07,684,0,0.725,3,12,0,1,0
34,65983.92,78837.34,551,5,0.95,2,48,0,0,1
55,173035.75,59544.45,765,27,0.278,0,36,1,0,0
21,139338.2,135326.3,579,0,0.726,2,24,0,0,1
32,207586.43,73361.4,666,0,0.207,0,48,0,0,0
23,52408.43,56677.73,587,0,0.638,0,36,1,1,1
43,256725.74,83617.69,614,17,0.124,1,12,1,1,0
31,53765.43,106702.66,786,9,0.927,0,60,1,0,1
52,63624.98,10000.0,669,31,0.108,2,24,0,0,0
44,82506.33,70655.42,612,21,0.76,3,36,0,1,1
52,196511.12,79647.09,563,31,0.291,0,48,1,1,0
46,120753.68,67591.15,501,23,0.326,2,12,0,1,1
38,97760.59,83494.56,554,16,0.725,0,48,0,0,0
55,76367.89,114261.95,670,23,0.927,2,48,1,1,0
40,58737.24,55622.75,743,18,0.479,1,36,0,0,1
58,181621.89,195162.41,612,30,0.428,0,36,1,1,1
60,156277.36,92330.46,793,35,0.5,0,60,0,1,0
44,200506.65,112025.4,599,21,0.402,1,60,1,1,0
47,130426.89,44264.33,640,18,0.237,1,12,0,0,0
31,50000.0,38956.29,568,0,0.61,2,36,0,1,1
53,62313.77,55410.6,744,23,0.634,1,36,0,1,0
47,134482.87,91082.43,838,15,0.379,1,60,1,1,0
57,92376.45,10000.0,510,29,0.078,0,48,1,0,1
31,84839.89,98152.5,631,2,0.502,3,36,0,1,1
52,66406.35,73379.81,768,30,0.583,0,60,0,0,0
39,167111.29,98780.95,537,8,0.397,1,36,1,0,1
28,133958.68,135868.52,708,0,0.397,0,24,0,0,0
27,136698.91,56874.86,764,3,0.351,0,36,1,1,0
43,82033.17,10000.0,667,18,0.05,2,36,0,1,0
33,118105.02,15422.18,707,5,0.075,1,48,1,1,0
25,59754.86,73756.85,810,4,0.769,1,36,0,0,0
38,102906.64,104193.41,826,8,0.768,0,48,1,1,0
47,50000.0,86728.66,655,23,0.768,3,60,0,0,1
33,53871.01,78729.69,615,12,0.95,1,24,0,1,1
59,94368.22,106040.95,582,35,0.681,1,36,1,0,1
52,317681.05,230838.18,743,21,0.364,0,48,1,1,0
41,50000.0,27803.55,543,17,0.227,0,24,0,0,0
58,62341.88,85408.74,639,31,0.95,4,48,0,0,1
38,120276.51,80989.01,669,8,0.399,1,36,1,0,0
26,241890.47,84178.45,617,5,0.201,0,24,0,1,0
22,119488.76,155913.76,684,0,0.598,3,60,0,0,1
58,149636.43,138828.17,850,34,0.607,1,36,1,0,0
59,93721.07,10000.0,650,30,0.058,1,24,0,0,0
50,86700.96,81250.02,623,27,0.421,4,24,0,0,0
25,113208.1,56401.83,746,3,0.399,3,48,0,1,0
32,81126.89,80950.15,680,2,0.887,2,60,0,1,1
22,151133.86,42681.0,782,0,0.159,0,36,0,1,0
23,52953.93,10000.0,674,0,0.099,2,12,0,0,0
30,162835.24,108299.38,639,1,0.382,1,12,0,0,0
43,111045.01,73109.42,508,17,0.596,2,48,0,1,1
23,99049.56,25455.33,522,0,0.18,2,36,0,1,0
60,52086.28,42594.41,504,36,0.368,2,36,0,1,0
39,70199.4,103916.75,692,11,0.95,4,24,0,0,1
31,187099.0,87772.08,544,6,0.277,1,36,0,1,1
41,99322.8,52040.42,767,15,0.189,1,48,0,1,0
52,123658.54,79299.79,663,29,0.598,1,36,1,0,0
33,73439.01,17756.52,639,7,0.101,1,24,1,0,0
22,107680.68,64378.61,588,0,0.358,1,36,1,0,1
23,58837.32,30418.69,713,1,0.385,3,36,0,0,0
55,114113.29,60465.53,592,33,0.372,0,36,0,0,1
25,128899.51,41144.58,576,0,0.113,0,12,1,0,0
46,126030.17,53427.01,761,21,0.303,1,24,0,1,0
36,72648.41,85941.33,690,14,0.93,1,36,0,1,1
52,93533.7,100066.58,640,25,0.92,4,24,0,0,1
23,138931.65,174320.82,715,1,0.578,4,48,0,0,0
56,99196.01,95481.42,661,35,0.358,2,36,0,1,0
48,95866.57,37380.05,693,26,0.357,2,24,1,1,0
38,256930.38,120769.83,591,12,0.356,4,48,1,1,0
29,71115.09,64732.33,836,0,0.567,3,36,0,0,0
60,177404.61,99551.64,611,37,0.441,3,24,0,1,0
33,64886.42,51413.55,792,9,0.352,1,48,0,0,0
40,146481.07,116984.41,644,17,0.739,7,36,0,1,1
36,150041.72,50561.48,729,11,0.25,1,60,1,1,0
30,86710.97,73829.32,722,1,0.746,2,24,1,0,0
37,63078.51,50048.25,757,13,0.543,3,60,0,1,0
27,50000.0,42315.04,589,0,0.703,2,48,0,0,0
21,82718.53,28708.83,751,0,0.19,0,12,0,0,0
32,138247.16,130366.02,817,0,0.405,1,36,1,0,0
25,67175.73,19638.24,638,0,0.164,1,48,1,0,0
37,113962.74,124563.73,663,8,0.95,2,36,0,0,0
55,56140.15,61804.71,616,23,0.846,2,36,1,1,1
27,98198.9,28166.9,631,0,0.179,0,60,0,1,0
21,65109.79,77422.14,805,0,0.584,0,48,0,1,0
25,105335.82,87567.38,575,3,0.589,1,60,0,0,1
41,87074.05,62050.22,580,19,0.503,3,60,0,1,1
31,63852.77,88824.55,797,0,0.93,2,48,1,0,0
40,81105.57,21319.95,713,13,0.208,2,48,0,0,0
22,71655.8,116977.37,840,0,0.809,2,48,0,1,0
34,60399.37,33757.42,622,9,0.367,4,60,0,0,1
37,177590.5,99478.53,671,13,0.3,1,36,0,1,0
38,92773.96,138790.53,604,8,0.708,3,12,0,1,0
43,50000.0,25602.93,672,15,0.281,1,36,1,0,0
52,82415.07,45222.51,509,21,0.456,4,12,0,0,1
39,164657.08,119667.39,718,15,0.304,1,60,0,0,0
54,77450.06,64161.22,687,28,0.427,1,48,0,0,0
42,214054.25,133269.9,655,20,0.417,3,36,1,1,0
31,74198.71,83107.15,627,0,0.661,4,24,1,1,1
30,136835.35,99763.88,584,3,0.617,1,36,0,0,1
33,173943.77,90561.22,722,6,0.426,3,36,0,1,0
44,133597.56,64007.77,560,19,0.363,3,48,0,1,1
30,58775.34,60390.82,704,6,0.534,1,36,0,0,1
57,71388.29,81767.59,836,25,0.415,0,36,1,1,0
40,184708.09,83144.04,786,14,0.242,2,24,0,1,0
55,75957.17,114275.24,532,26,0.95,6,36,0,1,1
48,169236.84,142927.99,614,27,0.347,1,36,1,0,0
34,89892.69,117187.68,696,10,0.95,2,60,1,0,1
30,116267.26,128008.85,654,0,0.95,3,60,0,0,1
50,58468.99,30609.55,541,28,0.415,2,48,1,1,1
34,82973.75,76632.58,693,12,0.553,0,24,0,1,1
30,73578.79,85582.84,659,0,0.95,4,12,0,1,0
58,120755.1,99537.2,823,34,0.423,1,60,1,1,0
40,113770.54,67003.61,638,16,0.543,2,60,0,0,1
22,134348.5,106822.84,759,0,0.453,2,24,0,0,0
40,87488.7,79566.84,552,17,0.695,3,48,0,1,1
39,71782.53,62411.41,573,18,0.314,1,36,1,0,0
55,118447.85,79046.89,721,34,0.486,3,24,0,0,0
49,68643.72,42595.95,752,28,0.327,0,60,1,0,0
28,177245.34,48607.87,579,6,0.113,1,60,1,1,0
27,103617.85,126644.52,662,0,0.746,4,60,0,1,1
45,94206.0,84507.83,543,21,0.371,3,24,0,0,0
22,134319.83,59285.05,645,1,0.203,0,36,0,1,0
33,105412.44,63218.68,731,12,0.532,2,60,0,1,1
26,51734.32,40311.57,623,0,0.302,2,48,0,0,1
21,67667.18,58910.02,639,0,0.631,2,36,0,0,1
57,175600.87,132967.31,564,32,0.292,5,36,0,1,0
24,113294.73,133849.62,605,3,0.922,4,12,0,1,1
21,51189.74,69754.58,809,0,0.95,2,36,0,0,0
58,127829.22,74567.47,666,32,0.355,3,60,0,1,0
28,84823.98,85377.09,575,5,0.937,1,12,0,0,1
53,73605.5,28453.78,633,21,0.284,5,24,1,1,1
22,65173.44,92326.53,524,0,0.95,1,36,1,0,1
27,171093.98,91083.49,574,2,0.241,2,36,0,1,0
25,50000.0,63152.6,776,0,0.95,4,36,0,0,1
49,74840.21,48961.18,648,25,0.567,2,12,0,0,0
45,115157.62,81555.29,821,23,0.304,1,48,1,1,0
40,221962.42,88238.92,652,8,0.146,3,24,0,1,1
30,139977.39,117741.78,657,0,0.476,2,48,0,0,1
24,74554.74,106358.64,714,0,0.636,1,36,0,1,0
43,217120.78,100107.56,433,15,0.254,3,36,0,1,0
30,59289.91,58135.82,677,7,0.907,1,36,1,0,1
44,122933.8,87909.57,656,16,0.62,2,48,0,1,1
48,135876.69,146270.29,786,19,0.661,0,36,0,0,0
54,73386.7,15070.74,742,25,0.106,2,36,1,0,0
40,149330.44,93904.73,564,13,0.438,1,36,1,1,1
21,86573.53,48645.8,766,0,0.513,1,36,0,0,0
32,149165.86,90668.49,638,5,0.501,5,36,0,0,1
55,50000.0,10000.0,583,25,0.174,2,36,0,1,0
42,126847.3,108162.37,677,19,0.688,1,36,1,1,0
45,90631.04,82524.85,643,19,0.594,3,24,1,0,1
39,183022.93,102812.46,791,14,0.244,1,48,1,0,0
27,106959.84,55921.11,689,0,0.44,2,24,0,1,0
56,191406.23,73520.58,677,34,0.284,1,60,0,1,0
51,137094.5,151389.77,737,27,0.898,5,48,0,1,1
60,103014.1,105623.15,753,28,0.81,5,12,0,1,0
55,155507.8,99682.91,727,33,0.319,2,48,1,1,0
32,155955.55,165118.63,781,4,0.552,2,36,0,0,0
31,134909.51,44983.17,712,3,0.288,1,60,1,0,0
30,50000.0,36657.23,674,4,0.436,2,60,0,0,1
57,70111.9,88017.06,765,36,0.573,2,60,1,0,0
43,203383.3,163625.95,652,22,0.592,0,36,0,1,1
39,61995.95,78804.2,663,15,0.672,2,60,0,1,1
59,162284.71,112928.63,806,37,0.512,1,48,0,1,0
45,149926.99,49362.55,798,23,0.232,2,60,0,1,0
57,78701.02,34999.61,659,35,0.333,2,24,1,0,0
60,50000.0,59434.07,621,37,0.95,3,60,0,0,1
24,84456.28,64493.7,784,0,0.394,0,48,1,0,0
35,277925.05,175544.21,728,7,0.591,3,24,1,1,1
50,73978.16,41204.56,687,29,0.45,3,60,0,1,0
53,76311.9,119661.75,633,25,0.95,0,48,0,0,1
26,69639.55,69702.22,688,4,0.832,6,60,0,1,1
33,188462.25,136456.19,658,7,0.263,1,12,1,1,0
42,97800.79,69440.03,604,21,0.463,1,36,0,0,1
52,82317.76,71322.82,671,30,0.358,2,48,0,1,0
25,206088.98,59142.93,683,3,0.216,0,12,1,0,0
45,141601.54,115433.32,628,19,0.314,2,48,1,1,0
32,72136.79,92291.98,737,6,0.473,2,48,0,1,0
29,62905.4,64824.09,770,4,0.921,8,24,0,1,1
41,183721.53,175605.92,742,13,0.86,5,48,0,1,1
37,109925.12,106358.15,637,8,0.701,2,24,1,1,1
46,54334.85,65037.0,724,17,0.749,2,60,0,0,0
33,50000.0,52075.13,667,6,0.882,4,60,0,0,1
53,66024.59,34651.83,555,26,0.487,4,36,0,0,1
24,62456.9,79529.76,717,0,0.487,2,36,0,0,0
55,50000.0,55294.51,672,32,0.456,2,36,1,1,0
22,66517.6,59367.48,850,0,0.797,2,36,0,0,0
